Séquence;Parcours;début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;T D centre;08/07/2024 08:49;08:50:06;100;1;1,2;10;1000
Central Brioche;L centre;08/07/2024 08:52;08:53:35;2;1;1,2;17;942
Central Brioche;T D centre;08/07/2024 09:03;09:04:27;100;1;1,7;29;1381
grouper air fra;L air france;09/07/2024 06:48;06:54:49;13;6;0,9;79;760
grouper air fra;L air france;09/07/2024 09:14;09:45:01;75;31;1,4;590;1157
grouper air fra;L air france;09/07/2024 09:53;09:55:07;75;2;0,4;11;308
-;L brioche;09/07/2024 10:05;10:06:53;12;1;2,1;31;1705
grouper air fra;L air france;09/07/2024 11:21;11:25:40;11;4;1,2;58;933
Central Brioche;T D centre;09/07/2024 11:31;11:32:40;100;1;1,7;29;1312
Central Brioche;L centre;09/07/2024 11:33;11:50:06;21;17;1,2;272;970
Central Brioche;T D centre;10/07/2024 06:53;06:55:03;100;2;1,4;29;1117
Central Brioche;L centre;10/07/2024 06:55;07:49:56;70;54;1,2;876;971
Central Brioche;L centre;10/07/2024 08:03;08:11:47;80;8;1,1;117;892
-;L novotel;10/07/2024 08:37;08:53:52;100;17;1,7;388;1411
-;L brioche;10/07/2024 09:06;09:26:56;100;20;2,2;590;1766
-;T F brioche;10/07/2024 10:16;10:22:48;100;6;2;152;1575
grouper air fra;L air france;10/07/2024 10:30;11:12:19;100;42;1,4;806;1167
grouper air fra;T F af;10/07/2024 11:13;11:14:33;100;2;2,2;40;1620
Central Brioche;T D centre;11/07/2024 06:17;06:19:20;100;2;1,5;30;1186
Central Brioche;L centre;11/07/2024 06:19;07:21:46;80;62;1,2;993;967
-;L novotel;11/07/2024 08:05;08:22:47;100;17;1,7;390;1386
-;L brioche;11/07/2024 08:35;08:56:13;100;20;2,2;589;1752
-;L brioche;11/07/2024 09:01;09:06:23;23;5;2,1;130;1701
-;L brioche;11/07/2024 09:13;09:14:40;28;1;1,4;17;1134
-;L brioche;11/07/2024 09:16;09:31:25;100;15;2,2;440;1755
-;T F brioche;11/07/2024 09:33;09:39:40;100;6;1,9;151;1527
grouper air fra;L air france;11/07/2024 09:53;10:35:00;100;42;1,4;808;1170
grouper air fra;T F af;11/07/2024 10:35;10:37:10;100;1;2,3;41;1709
grouper air fra;L air france;11/07/2024 11:02;11:32:13;75;30;1,4;581;1159
grouper air fra;L air france;12/07/2024 06:03;06:47:18;100;43;1,4;809;1123
grouper air fra;T F af;12/07/2024 06:48;06:49:33;100;2;2,2;40;1585
Central Brioche;T D centre;12/07/2024 07:31;07:31:52;100;1;0,7;5;564
Central Brioche;L centre;12/07/2024 07:33;08:08:22;46;35;1,2;562;969
Central Brioche;L centre;12/07/2024 08:36;08:52:03;66;16;1,2;249;952
Central Brioche;L centre;12/07/2024 08:53;09:07:31;81;14;1,1;215;929
-;L novotel;12/07/2024 09:08;09:25:43;100;17;1,7;388;1364
-;L brioche;12/07/2024 09:39;09:59:33;100;20;2,2;590;1747
-;T F brioche;12/07/2024 10:00;10:06:27;100;6;1,9;153;1531
Central Brioche;T D centre;12/07/2024 10:32;10:34:01;100;1;1,6;28;1308
Central Brioche;L centre;12/07/2024 10:34;10:59:24;32;25;1,2;405;984
Central Brioche;L centre;12/07/2024 12:01;12:08:31;42;7;1,2;109;955
Central Brioche;L centre;12/07/2024 12:11;12:13:45;46;2;1,1;36;904
Central Brioche;T D centre;15/07/2024 07:20;07:22:19;100;1;1,5;29;1250
Central Brioche;L centre;15/07/2024 07:22;07:48:16;34;25;1,2;417;990
Central Brioche;L centre;15/07/2024 07:56;08:38:55;85;42;1,1;638;915
-;L novotel;15/07/2024 09:00;09:17:39;100;17;1,7;390;1346
-;L brioche;15/07/2024 09:18;09:38:26;100;20;2,2;586;1751
-;T F brioche;15/07/2024 09:52;09:59:05;100;6;1,9;154;1506
grouper air fra;L air france;15/07/2024 10:48;11:01:04;31;12;1,2;198;972
grouper air fra;L air france;15/07/2024 11:48;12:16:43;100;29;1,5;587;1235
grouper air fra;T F af;15/07/2024 12:17;12:18:56;100;2;2,2;40;1638
Central Brioche;T D centre;16/07/2024 06:23;06:24:25;100;1;1,7;29;1363
Central Brioche;L centre;16/07/2024 06:24;07:27:07;80;62;1,2;992;962
Central Brioche;L centre;16/07/2024 07:41;07:52:43;95;12;1,1;167;869
-;L novotel;16/07/2024 07:53;08:10:41;100;17;1,7;389;1397
-;L brioche;16/07/2024 08:17;08:37:15;100;20;2,2;584;1751
-;L brioche;16/07/2024 09:05;09:26:14;100;21;2,1;584;1705
-;T F brioche;16/07/2024 09:34;09:39:55;100;6;2;152;1584
grouper air fra;L air france;16/07/2024 10:14;10:55:53;100;42;1,4;807;1160
grouper air fra;T F af;16/07/2024 10:56;10:57:57;100;1;2,3;40;1778
Central Brioche;T D centre;17/07/2024 06:07;06:08:56;100;1;1,6;29;1280
Central Brioche;L centre;17/07/2024 06:09;06:53:23;57;44;1,2;709;972
Central Brioche;L centre;17/07/2024 07:03;07:23:07;80;20;1,1;282;857
-;L novotel;17/07/2024 07:33;07:50:45;100;17;1,7;389;1360
-;L novotel;17/07/2024 07:54;07:55:21;7;1;1,3;11;996
Central Brioche;T D centre;18/07/2024 09:44;09:46:37;100;2;1,4;30;1124
Central Brioche;L centre;18/07/2024 09:47;10:26:50;50;40;1,2;638;971
Central Brioche;L centre;18/07/2024 10:31;10:40:54;62;9;1;128;845
grouper air fra;L air france;18/07/2024 10:48;11:29:47;100;42;1,4;805;1163
grouper air fra;T F af;18/07/2024 11:30;11:32:01;100;2;2,2;40;1620
-;L novotel;18/07/2024 12:29;12:38:16;60;9;1,6;201;1329
-;L brioche;18/07/2024 12:47;13:06:56;100;20;2,3;591;1815
-;T F brioche;18/07/2024 13:07;13:13:16;100;6;2;153;1631
grouper air fra;L air france;19/07/2024 06:16;06:59:40;100;43;1,4;808;1137
grouper air fra;T F af;19/07/2024 07:00;07:01:55;100;2;2,1;41;1599
Central Brioche;T D centre;19/07/2024 07:17;07:19:26;100;1;1,5;29;1193
Central Brioche;L centre;19/07/2024 07:20;08:02:42;55;43;1,2;693;978
Central Brioche;L centre;19/07/2024 08:05;08:07:59;57;3;1,1;38;879
Central Brioche;L centre;19/07/2024 08:20;08:46:08;88;25;1,1;380;899
grouper air fra;L air france;19/07/2024 08:52;09:33:52;100;42;1,4;807;1163
grouper air fra;T F af;19/07/2024 09:34;09:35:58;100;1;2,3;40;1757
Central Brioche;T D centre;19/07/2024 10:38;10:40:18;100;1;1,7;29;1346
Central Brioche;L centre;19/07/2024 10:40;11:32:08;67;51;1,2;824;969
Central Brioche;L centre;19/07/2024 12:01;12:02:35;69;1;1,1;19;909
